CBN-LBF 2040-080,R2,8,2.4,3.95,15°,50,6,35.320,8.28,8.50,8.74,9.00,9.57
CBN-LBF 2040-100,R2,10,2.4,3.95,15°,50,6,35.320,10.35,10.64,10.96,11.30,12.06
CBN-LBSF 2001-003,R0.05,0.3,0.07,0.09,15°,50,4,46.700,0.30,0.30,0.30,0.30,0.33
CBN-LBSF 2001-005,R0.05,0.5,0.07,0.09,15°,50,4,48.600,0.50,0.50,0.51,0.53,0.57
CBN-LBSF 20015-0045,R0.075,0.45,0.1,0.14,15°,50,4,46.700,0.45,0.45,0.46,0.48,0.51
CBN-LBSF 20015-0075,R0.075,0.75,0.1,0.14,15°,50,4,48.600,0.75,0.76,0.78,0.81,0.88
CBN-LBSF 2002-003,R0.1,0.3,0.13,0.19,15°,50,4,35.000,0.30,0.30,0.30,0.30,0.32
CBN-LBSF 2002-006,R0.1,0.6,0.13,0.19,15°,50,4,35.000,0.60,0.60,0.62,0.64,0.69
CBN-LBSF 2003-005,R0.15,0.5,0.22,0.28,15°,50,4,33.900,0.51,0.53,0.54,0.56,0.60
CBN-LBSF 2003-0075,R0.15,0.75,0.22,0.28,15°,50,4,34.400,0.77,0.79,0.82,0.85,0.91
CBN-LBSF 2003-009,R0.15,0.9,0.22,0.28,15°,50,4,35.000,0.91,0.94,0.97,1.01,1.08
CBN-LBSF 2004-0075,R0.2,0.75,0.32,0.38,15°,50,4,30.600,0.77,0.79,0.81,0.84,0.90
CBN-LBSF 2004-010,R0.2,1,0.32,0.38,15°,50,4,31.200,1.03,1.06,1.09,1.13,1.21
CBN-LBSF 2004-012,R0.2,1.2,0.32,0.38,15°,50,4,31.700,1.22,1.26,1.30,1.35,1.44
CBN-LBSF 2005-010,R0.25,1,0.4,0.48,15°,50,4,31.200,1.01,1.04,1.07,1.11,1.18
CBN-LBSF 2005-015,R0.25,1.5,0.4,0.48,15°,50,4,32.200,1.53,1.58,1.63,1.68,1.80
CBN-LBSF 2006-010,R0.3,1,0.48,0.58,15°,50,4,28.700,1.01,1.04,1.07,1.10,1.17
CBN-LBSF 2006-015,R0.3,1.5,0.48,0.58,15°,50,4,29.300,1.53,1.57,1.62,1.68,1.79
CBN-LBSF 2006-020,R0.3,2,0.48,0.58,15°,50,4,29.300,2.05,2.11,2.18,2.25,2.41
CBN-LBSF 2008-020,R0.4,2,0.6,0.78,15°,50,4,29.300,2.04,2.10,2.17,2.24,2.39
CBN-LBSF 2008-040,R0.4,4,0.6,0.78,15°,50,4,31.240,4.11,4.24,4.38,4.54,4.88
CBN-LBSF 2010-015,R0.5,1.5,0.7,0.98,15°,50,4,28.700,1.53,1.57,1.61,1.66,1.76
CBN-LBSF 2010-020,R0.5,2,0.7,0.98,15°,50,4,28.700,2.05,2.11,2.17,2.23,2.38
CBN-LBSF 2010-025,R0.5,2.5,0.7,0.98,15°,50,4,29.300,2.57,2.64,2.72,2.81,3.00
CBN-LBSF 2010-030,R0.5,3,0.7,0.98,15°,50,4,29.300,3.09,3.18,3.28,3.38,3.62
CBN-LBSF 2010-040,R0.5,4,0.7,0.98,15°,50,4,31.200,4.12,4.25,4.38,4.53,4.87
CBN-LBSF 2010-060,R0.5,6,0.7,0.98,15°,50,4,31.200,6.19,6.39,6.60,6.83,7.35
CBN-LBSF 2015-025,R0.75,2.5,0.9,1.46,15°,50,4,30.000,2.60,2.67,2.74,2.81,2.99
CBN-LBSF 2015-030,R0.75,3,0.9,1.46,15°,50,4,30.000,3.12,3.20,3.29,3.39,3.61
CBN-LBSF 2015-038,R0.75,3.8,0.9,1.46,15°,50,4,30.500,3.94,4.06,4.18,4.31,4.61
CBN-LBSF 2015-060,R0.75,6,0.9,1.46,15°,50,4,30.500,6.22,6.41,6.62,6.84,7.34
CBN-LBSF 2015-080,R0.75,8,0.9,1.46,15°,50,4,33.200,8.28,8.55,8.83,9.14,9.83
CBN-LBSF 2020-030,R1,3,1.2,1.97,15°,50,4,30.500,3.09,3.16,3.24,3.33,3.53
CBN-LBSF 2020-040,R1,4,1.2,1.97,15°,50,4,30.500,4.12,4.23,4.35,4.48,4.77
CBN-LBSF 2020-050,R1,5,1.2,1.97,15°,50,4,30.500,5.16,5.30,5.46,5.63,6.01
CBN-LBSF 2020-060,R1,6,1.2,1.97,15°,50,4,32.200,6.19,6.37,6.57,6.78,7.26
CBN-LBSF 2020-080,R1,8,1.2,1.97,15°,50,4,33.200,8.26,8.51,8.79,9.08,9.74
CBN-LBSF 2020-100,R1,10,1.2,1.97,15°,50,4,33.600,10.32,10.65,11.00,11.38,12.23
CBN-PLB 2004-010,R0.2,1,0.24,0.38,15°,50,4,32.800,1.03,1.06,1.09,1.13,1.21
CBN-PLB 2006-015,R0.3,1.5,0.36,0.58,15°,50,4,30.800,1.53,1.57,1.62,1.68,1.79
CBN-PLB 2010-025,R0.5,2.5,0.6,0.98,15°,50,4,30.800,2.57,2.64,2.72,2.81,3.00
UDCB 2002-0014,R0.1,,0.14,,16°,50,4,39.160,,,,,
UDCB 2003-0021,R0.15,,0.21,,16°,50,4,39.160,,,,,
UDCB 2004-0028,R0.2,,0.28,,16°,50,4,35.660,,,,,
UDCB 2005-0035,R0.25,,0.35,,16°,50,4,35.660,,,,,
UDCB 2006-0042,R0.3,,0.42,,16°,50,4,32.000,,,,,
UDCB 2007-0049,R0.35,,0.49,,16°,50,4,32.000,,,,,
UDCB 2008-0056,R0.4,,0.56,,16°,50,4,32.000,,,,,
UDCB 2009-0063,R0.45,,0.63,,16°,50,4,32.000,,,,,
UDCB 2010-0070,R0.5,,0.7,,16°,50,4,32.000,,,,,
UDCB 2020-0140,R1,,1.4,,16°,50,4,32.000,,,,,
UDCB 2030-0210,R1.5,,2.1,,16°,60,6,35.160,,,,,
UDCB 2040-0280,R2,,2.8,,16°,60,6,35.160,,,,,
UDCB 2050-0350,R2.5,,3.5,,16°,60,6,35.160,,,,,
UDCB 2060-0420,R3,,4.2,,―,60,6,35.160,,,,,
UDCBF 2002-0014,R0.1,,0.14,,16°,50,4,47.000,,,,,
UDCBF 2003-0021,R0.15,,0.21,,16°,50,4,47.000,,,,,
